RU,74950000000,Россия,7,RUB
KZ,77051143447,Казахстан,7,KZT
BY,375170000001,Белоруссия,375,BYN
MD,37369800501,Молдавия,373,MDL
PL,48587210000,Польша,48,PLN
DE,4977172000925,Германия,49,EURO
HU,3613130000,Венгрия,36,HUF
RO,40212230010,Румыния,40,RON
BG,35929459000,Болгария,359,BGN
KG,996312000101,Киргизия,996,KGS
AZ,994124900004,Азербайджан,994,AZN
AT,4369919578095,Австрия,43,EURO
LV,37120200000,Латвия,371,EURO
GE,995599000001,Грузия,995,GEL
TR,905392170001,Турция,90,TRY
PT,351960000001,Португалия,351,EURO
ES,34615554101,Испания,34,EURO
CZ,420200000001,Чехия,420,CZK
AM,374094100324,Армения,374,AMD
IT,390815520001,Италия,39,EURO
TH,614410001,Таиланд,66,THB
UZ,998900000001,Узбекистан,998,UZS
TJ,992988317279,Таджикистан,992,TJS
VN,905095087,Вьетнам,84,VND
AE,97165286001,ОАЭ,971,AED
SK,421870118261,Словакия,421,EURO
ID,62614410024,Индонезия,62,IDR
GR,306955311477,Греция,30,EURO
MY,6066476021,Малайзия,60,MYR
SG,6596992961,Сингапур,65,SGD
BH,97317827401,Бахрейн,973,BHD
FR,33620026165,Франция,33,EURO
NL,31555876132,Нидерланды,31,EURO
BE,3280446631,Бельгия,32,EURO
DK,4591616044,Дания,45,DKK
SE,46737797620,Швеция,46,SEK
TW,886223613000,Китайская Республика,86,TWD
RS,381113044000,Сербия,381,RSD
BA,38751349200,Босния и Герцеговина,387,BAM
CO,5715921777,Колумбия,57,COP
MK,38923292929,Северная Македония,389,MKD
SA,966599418686,Саудовская Аравия,966,SAR
HR,38551710011,Хорватия,385,HRK
HN,50431480011,Гондурас,504,HNL
EC,593991980142,Эквадор,593,USD
UA,380961010001,Украина,380,UAH
PE,51974799021,Перу,51,PEN
KE,710638001,Кения,254,KES
ME,38269010001,Черногория,381,EURO
XK,38349740104,Косово,не задан,EURO
GT,50277210100,Гватемала,502,GTQ
NG,2347067630011,Нигерия,234,NGN
KH,060321001,Камбоджа,855,KHR
MX,528683510011,Мексика,52,MXN
PH,63243367751,Филиппины,63,PHP
IQ,964663010000,Ирак,964,IQD
SN,221338690012,Сенегал,221,XOF
